Hue mean,Yellow,Red,Green,Blue,Saturation,Biome name
42.4316,276,0,9594,0,202.0979,plains
42.1581,5,0,9948,0,216.5158,plains
41.0182,416,0,9418,0,203.1303,plains
34.8321,1067,1010,6838,28,214.3719,plains
35.6275,746,1104,7237,0,210.21,plains
35.8746,831,1031,6917,157,195.5266,plains
33.4191,1119,1408,6090,124,172.8559,plains
38.7522,1043,0,8630,0,226.2409,plains
33.8703,1080,1052,6877,0,222.5226,plains
38.812,860,1046,6306,635,199.697,plains
33.0888,947,1359,6487,0,187.0811,plains
39.2476,904,1426,5515,917,186.1456,plains
34.6671,1087,1091,6496,124,200.3526,plains
40.5521,858,998,6141,866,203.6844,plains
37.5532,962,1588,5453,564,172.7562,plains
39.9592,901,1396,5524,998,189.9173,plains
33.2451,1509,1378,5836,5,192.6432,plains
34.1417,1048,1089,6692,0,206.3983,plains
55.9019,4379,2,784,3383,64.2698,start
60.9225,2935,226,375,4215,75.4154,start
52.4518,3168,58,2147,2146,69.866,start
58.7057,3059,208,835,3673,95.7883,start
36.572,4323,0,4293,0,74.5503,start
36.23,4857,1,3231,0,69.0285,start
35.8889,4888,0,3642,0,83.6772,start
36.9965,2779,26,3146,0,64.3488,start
35.4972,3076,42,3004,0,64.2492,start
28.3041,2204,31,2862,2,94.7636,start
43.9625,3999,78,2229,1434,104.7725,start
43.2403,3884,21,3162,1113,101.8361,start
54.9439,1204,506,408,3554,51.904,start
42.4371,3748,134,3132,1068,89.0504,start
51.0041,2554,128,2991,1961,64.6207,start
40.379,4540,11,2822,907,130.0182,start
42.6235,3360,124,3622,797,71.4468,start
17.5842,4447,3084,0,0,89.4059,start
30.6894,3485,2788,762,0,70.1254,start
74.3544,1440,1843,191,186,39.9526,start
21.6875,4025,3245,198,0,71.3566,start
26.4604,4324,2821,21,466,74.8198,start
35.5095,329,3636,0,0,85.7893,start
56.4122,4245,18,615,3631,77.3204,start
27.1212,4277,1478,484,508,141.7585,start
30.955,3977,1449,1387,612,131.3049,start
73.6423,1390,821,733,4218,103.961,start
63.6789,2481,723,583,3203,117.0111,start
35.1033,3698,1203,896,855,126.2109,start
23.3786,639,3334,112,325,115.7497,start
27.6776,6272,28,246,201,102.0662,start
28.4068,6194,0,4,0,116.8845,start
28.3491,5139,20,1202,0,97.2018,start
28.6494,5963,0,367,0,110.8861,start
58.8054,3950,7,718,3814,65.9935,start
28.0528,6572,0,0,0,120.8627,start
28.2111,6475,0,0,0,106.2274,start
32.3746,6083,60,838,390,136.6947,start
41.4259,3959,21,2014,1403,144.6733,start
46.2433,3930,14,1544,1820,132.0446,start
29.2993,7334,32,813,60,131.5155,start
39.4837,5558,3,643,1284,144.6156,start
33.7187,6070,98,330,874,124.4025,start
56.3984,3856,18,1069,3539,67.4621,start
56.7075,3265,146,1762,2840,112.3672,start
46.9586,4936,209,707,2317,105.2441,start
53.8487,3440,287,1042,2886,71.6749,start
48.4293,4384,222,1235,1935,64.8353,start
24.2212,7956,10,78,0,99.8293,swamp
21.9628,6837,207,0,0,169.7595,swamp
23.7888,7364,8,373,0,134.9721,swamp
25.1247,7673,114,129,39,105.1242,swamp
25.5101,7808,87,169,14,112.2601,swamp
22.1252,4817,43,151,0,85.709,swamp
21.0263,4480,656,155,0,50.3011,swamp
25.158,4242,149,87,402,105.5072,swamp
30.2643,3994,87,414,846,99.0784,swamp
21.6151,5094,346,69,0,57.7681,swamp
26.7467,4324,125,101,548,100.9863,swamp
20.861,3997,143,33,0,90.0855,swamp
25.1281,8718,0,34,0,126.4475,swamp
24.1256,3937,306,71,310,114.4803,swamp
22.3544,5950,222,97,0,46.8761,swamp
21.6067,3370,497,26,115,109.2862,swamp
26.182,5924,58,462,253,62.5419,swamp
17.5699,619,304,0,0,135.7969,swamp
23.9295,7648,11,67,0,105.7272,swamp
25.1178,7245,140,565,62,134.7983,swamp
24.4768,7284,189,262,65,113.3845,swamp
23.4134,2705,661,131,120,84.4632,swamp
22.3397,3425,574,94,116,84.8105,swamp
26.0566,8059,0,328,0,79.158,swamp
22.9984,5061,299,137,133,146.5247,swamp
26.0809,2409,840,110,448,136.5388,swamp
22.3612,4556,251,58,84,132.2257,swamp
23.809,4105,307,116,228,123.4294,swamp
23.0668,4333,353,141,86,93.8023,swamp
25.3366,2419,801,97,407,134.1633,swamp
22.6021,4227,386,130,96,108.6931,swamp
26.66,2540,865,355,454,138.1286,swamp
23.9005,6517,111,244,74,152.3184,swamp
26.4164,5357,375,472,191,65.8039,swamp
24.7756,7522,110,151,20,132.5305,swamp
26.4393,3338,649,509,326,111.5823,swamp
20.1847,1265,487,327,38,158.0689,swamp
20.0773,1579,973,16,76,153.3316,swamp
29.0306,6151,133,195,671,123.0635,swamp
26.3276,6033,196,185,391,135.2366,swamp
23.2681,5322,307,141,119,145.627,swamp
24.8942,7350,90,440,55,140.4754,swamp
25.9312,6915,185,221,161,112.7365,swamp
23.8495,6744,121,138,88,151.2464,swamp
23.545,6645,115,250,45,141.3924,swamp
25.3089,6909,0,1026,0,141.8182,swamp
23.6249,6845,197,183,55,133.2385,swamp
24.0299,6085,233,213,135,134.3811,swamp
24.2935,6195,190,488,77,149.6629,swamp
23.6675,6284,181,143,104,149.6317,swamp
23.2994,6778,164,187,53,140.4491,swamp
21.6293,6109,241,0,0,166.312,swamp
25.1387,8408,0,23,0,124.0973,swamp
28.0635,7316,1,698,140,78.9143,swamp
24.2242,7266,83,274,9,137.0536,swamp
20.6628,317,0,0,0,199.2616,table
20.7927,591,0,0,0,198.1768,table
18.4938,269,0,73,0,171.3382,table
18.4218,776,0,0,0,188.0254,table
18.7158,279,0,0,0,187.8251,table
18.7162,525,0,0,0,203.0245,table
20.7839,1307,0,0,0,166.8719,table
21.5461,1434,0,340,0,165.0719,table
23.8149,225,15,33,387,204.5945,table
20.9958,431,0,114,7,201.7307,table
20.8608,1589,0,0,0,165.9505,table
21.4239,1577,0,237,0,163.6683,table
20.8804,775,7,4,10,197.7328,table
20.7396,672,0,0,0,195.7347,table
25.2789,69,24,1,680,109.5075,table
22.7148,132,2,536,241,124.8288,table
26.8996,291,21,36,792,110.891,table
27.1186,242,1,745,622,129.0277,table
